Dean Elgar
Temba Bavuma
Gerald Coetzee
Theunis de Bruyn
Sarel Eree
Simon Harmer
Marco Jansen
Keshav Maharaj
Heinrich Klaasen
Lungi Ngidi
Anrich Nortje
Kagiso Rabada
Rassie van der Dussen
Kyle Verreynne
Lizaad Williams
Temba Bavuma
Keshav Maharaj
Quinton de Kock
Heinrich Klaasen
Reeza Hendricks
Janneman Malan
Aiden Markram
David Miller
Lungi Ngidi
Anrich Nortje
Wayne Parnell
Andile Phehlukwayo
Dwaine Pretorius
Kagiso Rabada
Tabraiz Shamsi.
Temba Bavuma
Quinton de Kock
Heinrich Klaasen
Reeza Hendricks
Keshav Maharaj
Aiden Markram
David Miller
Lungi Ngidi
Anrich Nortje
Wayne Parnell
Kagiso Rabada
Rillee Rossouw
Tabraiz Shamsi
Tristan Stubbs
Marco Jansen
Mark Boucher
